Patient,Neuron Name,Pre-Stim T-Score,Pre-Stim P-Value,Pre-Stim Significant,Post-Stim T-Score,Post-Stim P-Value,Post-Stim Significant,T-Score Diff (Pre - Post),Post-Stim Mean Rate (Hz),N Clips
P574_exp_10_preSleep,times_manual_GA2-RA7_unit_1,1.0589187116376342,0.2931296181718459,False,1.2914551630693847,0.2010092172333431,False,-0.2325364514317505,0.5466666666666666,75
P574_exp_10_preSleep,times_manual_GA2-RA8_unit_1,0.26432252605803225,0.792337404529129,False,0.11775791006019805,0.9065842716459959,False,0.1465646159978342,1.2933333333333332,75
P574_exp_10_preSleep,times_manual_GA3-RAH1_unit_1,-0.3210309651923342,0.7492356381148639,False,1.4905558828949241,0.14043907499018454,False,-1.8115868480872583,0.52,75
P574_exp_10_preSleep,times_manual_GA3-RAH2_unit_1,1.812199902453678,0.07418672591064764,False,0.988516950731526,0.32619797785053634,False,0.8236829517221519,1.5333333333333334,75
P574_exp_10_preSleep,times_manual_GA3-RAH7_unit_1,-0.4473951736181279,0.6559751100466628,False,1.1589332842177253,0.2502607759061942,False,-1.6063284578358532,4.986666666666666,75
P574_exp_10_preSleep,times_manual_GA3-RAH8_unit_1,1.0429969476354322,0.3004712817780019,False,0.11872255932503425,0.9058243133043486,False,0.9242743883103979,1.3866666666666667,75
P574_exp_10_preSleep,times_manual_GB1-LEC3_unit_1,-1.3027594880907873,0.1974877273026825,False,-1.160450927346016,0.24996691063478846,False,-0.14230856074477138,5.8,75
P574_exp_10_preSleep,times_manual_GB1-LEC3_unit_2,-0.9736984754506173,0.3338937960859826,False,-0.5692638801811145,0.5710138924593842,False,-0.40443459526950276,2.2933333333333334,75
P574_exp_10_preSleep,times_manual_GB1-LEC3_unit_3,1.0481103913553065,0.29811964841203287,False,0.06265057933951712,0.9502367065282198,False,0.9854598120157894,4.906666666666666,75
P574_exp_10_preSleep,times_manual_GB1-LEC4_unit_1,-0.7456103775401025,0.45832880922357616,False,0.24681473010185703,0.8058281536795193,False,-0.9924251076419596,9.066666666666666,75
P574_exp_10_preSleep,times_manual_GB1-LEC5_unit_1,1.0526778048198417,0.2960127094569817,False,1.286429000562448,0.2029567547376517,False,-0.23375119574260617,9.493333333333334,75
P574_exp_10_preSleep,times_manual_GB1-LEC6_unit_1,-0.5188815526257532,0.6056493278233708,False,0.40023516597966846,0.6902713885226702,False,-0.9191167186054217,2.7866666666666666,75
P574_exp_10_preSleep,times_manual_GB1-LEC6_unit_2,-0.4161948019163105,0.6785305612827413,False,0.7739989034049961,0.4416715143015449,False,-1.1901937053213065,4.013333333333334,75
P574_exp_10_preSleep,times_manual_GB1-LEC7_unit_1,-0.31872620098998766,0.751126754575013,False,1.0313201506408818,0.30582721244016303,False,-1.3500463516308694,7.52,75
P574_exp_10_preSleep,times_manual_GB1-LEC7_unit_2,0.5998693706045178,0.5505095723508752,False,0.8531660891309457,0.3963897407594536,False,-0.2532967185264279,3.1733333333333333,75
P574_exp_10_preSleep,times_manual_GB1-LEC8_unit_1,-0.500641285654645,0.6181732152065819,False,-0.9296477994638371,0.355713329034284,False,0.4290065138091921,13.053333333333333,75
P574_exp_10_preSleep,times_manual_GB1-LEC8_unit_2,0.3568362831383914,0.7223987189812733,False,-0.26186499553217407,0.7941631626562278,False,0.6187012786705655,10.56,75
